24,4,16.3,1,1.995,3,0.1,0.1,0.9
22,1,7.6,5,1.984,1,0.9,0.1,0.1
4,2,9,5,2.008,3,0.1,0.1,0.9
5,3,11,10,2.002,1,0.9,0.1,0.1
20,2,9,5,2.002,2,0.1,0.9,0.1
4,2,9,5,2.002,3,0.1,0.1,0.9
13,2,9.1,5,2,1,0.9,0.1,0.1
20,4,13.5,1,1.999,3,0.1,0.1,0.9
4,2,7.4,12,1.97,2,0.1,0.9,0.1
16,3,12.2,3,1.995,2,0.1,0.9,0.1
24,2,9.1,9,1.987,1,0.9,0.1,0.1
5,3,12.2,3,1.988,2,0.1,0.9,0.1
16,3,12.5,3,1.996,2,0.1,0.9,0.1
8,2,9.2,9,1.978,1,0.9,0.1,0.1
1,1,6.7,9,1.978,1,0.9,0.1,0.1
24,2,10.3,5,1.993,1,0.9,0.1,0.1
13,1,6.6,3,1.974,1,0.9,0.1,0.1
20,3,11.6,3,2,2,0.1,0.9,0.1
8,2,10.9,5,1.995,1,0.9,0.1,0.1
